task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run1,mediastore,49,,,,model-doc/aalinker/gpt-5.4_full/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run1,teastore,677,,,,model-doc/aalinker/gpt-5.4_full/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run1,teammates,8017,,,,model-doc/aalinker/gpt-5.4_full/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run1,bigbluebutton,1374,,,,model-doc/aalinker/gpt-5.4_full/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run1,jabref,8264,,,,model-doc/aalinker/gpt-5.4_full/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run2,mediastore,48,,,,model-doc/aalinker/gpt-5.4_full/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run2,teastore,677,,,,model-doc/aalinker/gpt-5.4_full/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run2,teammates,6946,,,,model-doc/aalinker/gpt-5.4_full/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run2,bigbluebutton,1426,,,,model-doc/aalinker/gpt-5.4_full/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run2,jabref,8246,,,,model-doc/aalinker/gpt-5.4_full/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run3,mediastore,48,,,,model-doc/aalinker/gpt-5.4_full/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run3,teastore,677,,,,model-doc/aalinker/gpt-5.4_full/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run3,teammates,7321,,,,model-doc/aalinker/gpt-5.4_full/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run3,bigbluebutton,1402,,,,model-doc/aalinker/gpt-5.4_full/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_full,gpt-5.4,full,run3,jabref,8246,,,,model-doc/aalinker/gpt-5.4_full/run3/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run1,mediastore,55,,,,model-doc/aalinker/sonnet_full/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run1,teastore,709,,,,model-doc/aalinker/sonnet_full/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run1,teammates,6531,,,,model-doc/aalinker/sonnet_full/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run1,bigbluebutton,1365,,,,model-doc/aalinker/sonnet_full/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run1,jabref,8272,,,,model-doc/aalinker/sonnet_full/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run2,mediastore,44,,,,model-doc/aalinker/sonnet_full/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run2,teastore,715,,,,model-doc/aalinker/sonnet_full/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run2,teammates,6420,,,,model-doc/aalinker/sonnet_full/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run2,bigbluebutton,1201,,,,model-doc/aalinker/sonnet_full/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run2,jabref,8522,,,,model-doc/aalinker/sonnet_full/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run3,mediastore,55,,,,model-doc/aalinker/sonnet_full/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run3,teastore,711,,,,model-doc/aalinker/sonnet_full/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run3,teammates,6465,,,,model-doc/aalinker/sonnet_full/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run3,bigbluebutton,1226,,,,model-doc/aalinker/sonnet_full/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,sonnet_full,sonnet,full,run3,jabref,8272,,,,model-doc/aalinker/sonnet_full/run3/jabref.csv o model-code/arcotl/jabref.csv,
