task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run1,mediastore,49,,,,model-doc/aalinker/gpt-5.4_s21/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run1,teastore,658,,,,model-doc/aalinker/gpt-5.4_s21/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run1,teammates,6037,,,,model-doc/aalinker/gpt-5.4_s21/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run1,bigbluebutton,1404,,,,model-doc/aalinker/gpt-5.4_s21/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run1,jabref,8272,,,,model-doc/aalinker/gpt-5.4_s21/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run2,mediastore,47,,,,model-doc/aalinker/gpt-5.4_s21/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run2,teastore,658,,,,model-doc/aalinker/gpt-5.4_s21/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run2,teammates,6610,,,,model-doc/aalinker/gpt-5.4_s21/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run2,bigbluebutton,1436,,,,model-doc/aalinker/gpt-5.4_s21/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run2,jabref,8272,,,,model-doc/aalinker/gpt-5.4_s21/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run3,mediastore,49,,,,model-doc/aalinker/gpt-5.4_s21/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run3,teastore,658,,,,model-doc/aalinker/gpt-5.4_s21/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run3,teammates,6745,,,,model-doc/aalinker/gpt-5.4_s21/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run3,bigbluebutton,1327,,,,model-doc/aalinker/gpt-5.4_s21/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,gpt-5.4_s21,gpt-5.4,full,run3,jabref,8272,,,,model-doc/aalinker/gpt-5.4_s21/run3/jabref.csv o model-code/arcotl/jabref.csv,
