source_id,target_id
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/
_1lMqsKESEeu-mYqkDskRow,src/main/java/teammates/ui/
_1lMqsKESEeu-mYqkDskRow,src/test/java/teammates/ui/
_2dI_UKESEeu-mYqkDskRow,src/main/java/teammates/logic/
_2dI_UKESEeu-mYqkDskRow,src/test/java/teammates/logic/
_3LCnIKESEeu-mYqkDskRow,src/main/java/teammates/logic/
_3LCnIKESEeu-mYqkDskRow,src/test/java/teammates/logic/
_777jQKESEeu-mYqkDskRow,src/main/java/teammates/storage/
_777jQKESEeu-mYqkDskRow,src/test/java/teammates/storage/
_9JlCIKESEeu-mYqkDskRow,src/main/java/teammates/storage/
_9JlCIKESEeu-mYqkDskRow,src/test/java/teammates/storage/
_Bae2oKETEeu-mYqkDskRow,src/test/java/teammates/test/
_C6tTQKETEeu-mYqkDskRow,src/e2e/java/teammates/e2e/
_EIoe8KETEeu-mYqkDskRow,src/e2e/java/teammates/e2e/
_FMKYgKETEeu-mYqkDskRow,src/client/java/teammates/client/
_GaP8QKETEeu-mYqkDskRow,src/client/java/teammates/client/
__RE6IKESEeu-mYqkDskRow,src/test/java/teammates/test/
_ylL2UKESEeu-mYqkDskRow,src/main/java/teammates/common/
_ylL2UKESEeu-mYqkDskRow,src/test/java/teammates/common/
_zUmhEKESEeu-mYqkDskRow,src/main/java/teammates/common/
_zUmhEKESEeu-mYqkDskRow,src/test/java/teammates/common/
