task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run1,mediastore,29,1.0000,0.9355,0.9667,agent-linker/results/v2.6.6_extracts_s21/gpt/run1/mediastore.json,17d8147fb4189674
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run1,teastore,25,1.0000,0.9259,0.9615,agent-linker/results/v2.6.6_extracts_s21/gpt/run1/teastore.json,3ad57d567c85a144
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run1,teammates,49,1.0000,0.8596,0.9245,agent-linker/results/v2.6.6_extracts_s21/gpt/run1/teammates.json,27ead3bab5994421
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run1,bigbluebutton,48,0.9792,0.7581,0.8545,agent-linker/results/v2.6.6_extracts_s21/gpt/run1/bigbluebutton.json,de9f534cba9b8812
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run1,jabref,18,1.0000,1.0000,1.0000,agent-linker/results/v2.6.6_extracts_s21/gpt/run1/jabref.json,23b381fa435ac932
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run2,mediastore,28,1.0000,0.9032,0.9492,agent-linker/results/v2.6.6_extracts_s21/gpt/run2/mediastore.json,ed38cf808aaae3bf
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run2,teastore,25,1.0000,0.9259,0.9615,agent-linker/results/v2.6.6_extracts_s21/gpt/run2/teastore.json,32740dd328187886
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run2,teammates,51,0.9412,0.8421,0.8889,agent-linker/results/v2.6.6_extracts_s21/gpt/run2/teammates.json,5e0fcb0fb1cbef63
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run2,bigbluebutton,49,0.9796,0.7742,0.8649,agent-linker/results/v2.6.6_extracts_s21/gpt/run2/bigbluebutton.json,9d87dfc8753cbbbb
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run2,jabref,18,1.0000,1.0000,1.0000,agent-linker/results/v2.6.6_extracts_s21/gpt/run2/jabref.json,302c861ca459c82a
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run3,mediastore,29,1.0000,0.9355,0.9667,agent-linker/results/v2.6.6_extracts_s21/gpt/run3/mediastore.json,1b1b8f456fe191b0
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run3,teastore,25,1.0000,0.9259,0.9615,agent-linker/results/v2.6.6_extracts_s21/gpt/run3/teastore.json,b7b7a1a414e784b0
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run3,teammates,51,0.9412,0.8421,0.8889,agent-linker/results/v2.6.6_extracts_s21/gpt/run3/teammates.json,39ea00968cbedac3
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run3,bigbluebutton,46,1.0000,0.7419,0.8519,agent-linker/results/v2.6.6_extracts_s21/gpt/run3/bigbluebutton.json,9efdd81236f55c7b
model-doc,aalinker,gpt-5.4_s21,gpt-5.4,full,run3,jabref,18,1.0000,1.0000,1.0000,agent-linker/results/v2.6.6_extracts_s21/gpt/run3/jabref.json,c7440ce69908ff56
