sentence_id,target_id
4,_0e5u8FkHEeyewPSmlgszyA
5,_0e5u8FkHEeyewPSmlgszyA
5,_s0aIcFkHEeyewPSmlgszyA
6,_0e5u8FkHEeyewPSmlgszyA
6,_yGgUMFkHEeyewPSmlgszyA
8,_yGgUMFkHEeyewPSmlgszyA
9,_yGgUMFkHEeyewPSmlgszyA
10,_yGgUMFkHEeyewPSmlgszyA
12,_yGgUMFkHEeyewPSmlgszyA
13,_yGgUMFkHEeyewPSmlgszyA
14,_0e5u8FkHEeyewPSmlgszyA
15,_yGgUMFkHEeyewPSmlgszyA
18,_yGgUMFkHEeyewPSmlgszyA
26,_XuNf4FkJEeyewPSmlgszyA
30,_4yx-8FkHEeyewPSmlgszyA
36,_4yx-8FkHEeyewPSmlgszyA
39,_yGgUMFkHEeyewPSmlgszyA
46,_6sergFkHEeyewPSmlgszyA
47,_6sergFkHEeyewPSmlgszyA
47,_yGgUMFkHEeyewPSmlgszyA
48,_RDHFIFwPEeyiuNx_RO7j-Q
49,_RDHFIFwPEeyiuNx_RO7j-Q
51,_XuNf4FkJEeyewPSmlgszyA
52,_XuNf4FkJEeyewPSmlgszyA
54,_XuNf4FkJEeyewPSmlgszyA
57,_9wZIcFkHEeyewPSmlgszyA
58,_nwrCMFwPEeyiuNx_RO7j-Q
59,_nwrCMFwPEeyiuNx_RO7j-Q
60,_6sergFkHEeyewPSmlgszyA
60,_XuNf4FkJEeyewPSmlgszyA
60,_nwrCMFwPEeyiuNx_RO7j-Q
61,_nwrCMFwPEeyiuNx_RO7j-Q
62,_nwrCMFwPEeyiuNx_RO7j-Q
63,_nwrCMFwPEeyiuNx_RO7j-Q
65,_s0aIcFkHEeyewPSmlgszyA
66,_nwrCMFwPEeyiuNx_RO7j-Q
67,_oN4CMFkHEeyewPSmlgszyA
67,_s0aIcFkHEeyewPSmlgszyA
68,_oN4CMFkHEeyewPSmlgszyA
68,_yGgUMFkHEeyewPSmlgszyA
70,_s0aIcFkHEeyewPSmlgszyA
72,_nwrCMFwPEeyiuNx_RO7j-Q
73,_s0aIcFkHEeyewPSmlgszyA
73,_yGgUMFkHEeyewPSmlgszyA
74,_s0aIcFkHEeyewPSmlgszyA
78,_4yx-8FkHEeyewPSmlgszyA
79,_6sergFkHEeyewPSmlgszyA
80,_2BgxMFkHEeyewPSmlgszyA
81,_2BgxMFkHEeyewPSmlgszyA
